احلام فعلا ملكة وتستاهل اللقب غضبن عن الكل,N,,,,,,,,,,,,,,,,,N
من فلسطين بقولك انتي ملكه غصبن عن انوف الحاقدين,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
ياهي حصلت حسنات من ورى العالم الي يدورون عيوبها,N,,,,,,,,,,,,,,,,,N
و الله عيب نقيم اوباش مثل احلام المريضة عقليا و رفعها الى مكانة لا يستحقها الا اهل العلم و القيم,P,,,,,,,,,,,,,,,,,P
متخلفة رسمي,P,,,,,,,,,,,,,,,,,P
مريضة و تسير نحو لقب اكبر مسخرة بالتاريخ,P,,,,,,,,,,,,,,,,,P
هههههههههههههه نام سه تركي ؟؟؟؟ خخخخخخخخخخخخ,N,,,,,,,,,,,,,,,,,N
مع الاسف على قتاة ام بي سي   ان تعمل عمل مع هيك  بشر زي الحشر,P,,,,,,,,,,,,,,,,,P
تستحق الاعدام مو تستحق لقب الملكة,P,,,,,,,,,,,,,,,,,P
MOHA HANI احسن توصيف فعلا تشبه القذافي هذاك خبل وهذي خبله,P,,,,,,,,,,,,,,,,,P
ahlam 😨😨😨😨😨😨😨,N,,,,,,,,,,,,,,,,,N
حسبي الله ونعم الوكيل على اهتمامات الناس بدلا من انتاج جيل نافع ايها الحثالات,N,,,,,,,,,,,,,,,,,N
والله انها تضحك وعلنيتها زي الطفلة الصغيرة لكن احينا تتحمس زيادة عن اللزوم,N,,,,,,,,,,,,,,,,,N
مهما تعملو ... أحلام في القلب,N,,,,,,,,,,,,,,,,,N
الله يجعلكم عليهاا نذر ماتسون اثرهاا قد سموهااااا الملكه ي جهلا,P,,,,,,,,,,,,,,,,,P
ظريفه والله ي جماعة وعفوية وغير متكلفة واصحبت ثرية لانها صعنت نفسها وفرضتها بأجتهادها رغم حقد بعض الفنانين لها,N,,,,,,,,,,,,,,,,,N
اقسم بالله العلي العظيم احلام مريضه نفسيا انها بحاجه الى مصحه للعلاج الله يشفيها,P,,,,,,,,,,,,,,,,,P
سبحان من حرم هذه المخلوقة من الحياء والجمال فلا هي امرأة ولا هي من الرجال,P,,,,,,,,,,,,,,,,,P
هههههههه دبحني الفيديو صج مب صاحيه,N,,,,,,,,,,,,,,,,,N
انت مريض نفسيا قاعد تنشر ع كل من هب وذب  وترمي الناس من حجار وبينك مصنوع من قزاز انت حتى المذيع ماسبتها بحالها,N,,,,,,,,,,,,,,,,,N
احلام كانت طبيعية بس بعد الفلوس وعمليات التجميل اصبحت مغرورة وتافهة وحت صوتها اصبح ماالة قيمة بسب تصرفاتها مع الاسف,P,,,,,,,,,,,,,,,,,P
الله يهديكم ويصلح حالكم,N,,,,,,,,,,,,,,,,,N
مين البحكي بنص الفيديو صوتك مخيف ما قدرت اكمل الفيديو بسبب صوتك المخيف,N,,,,,,,,,,,,,,,,,N
هههههههه احلام منضره,N,,,,,,,,,,,,,,,,,N
هههههههه خطيه هذه خبله,P,,,,,,,,,,,,,,,,,P
ماهو  اسم البرامج باللغة العربية وهل تموياهو عربي اشك في ذالك,N,,,,,,,,,,,,,,,,,N
هذا مو موضوع مهم يستاهل...,N,,,,,,,,,,,,,,,,,N
انسانة انصحها تروح تتستر وتطلب ربها المغفرة  .. عار على كل خليجية ..  تفشل  وتخزي...,N,,,,,,,,,,,,,,,,,N
ﻻ احب ان اعطي رأي في هده التفاهات لكن اريد فثط قول شيء واحد هؤﻻء يمثلون على الناس لكي يضل يتفرج وينتضر الجديد منهم,N,,,,,,,,,,,,,,,,,N
طبعا الثقافه البيئيه تلعب دور في تنشأة الشخص وتحدد شخصيته وبالتالي تنعكس على ستايله,N,,,,,,,,,,,,,,,,,N
لا تعليق,N,,,,,,,,,,,,,,,,,N
"أحلام انتي ملكة ياعمري الله يلعن كل واحد بيسبك 
أحلام والله انك قلبك طيب. والناس بتغار منك💖💖💖💖💖💖💖💖💖💖💖💖",N,,,,,,,,,,,,,,,,,N
انفشخت الفنانه,N,,,,,,,,,,,,,,,,,N
احلام كانت حوله ليش هسة طبيعي عيونها؟؟؟  معقول سوت تجميل,N,,,,,,,,,,,,,,,,,N
هاذي اصلا عايشة في الحرام يعني الغنا شو اكثر من هيك صوت المراة عورة فما بالك ا=ا غنت ورقصت امام الناس,P,,,,,,,,,,,,,,,,,P
شكراً أحلام علمتيني درساً رئعاً  ، علمتيني أنه مهما بلغت ثروة الانسان المادية لا ترفع قيمته بل على العكس تزيد من احتقاره  من قبل الناس,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
هههههههههههه هبلة,P,,,,,,,,,,,,,,,,,P
سبحان الله ؟؟ و كاني اتفرج على القذافي رحمه الله...و الله مافي فرق !!!!,P,,,,,,,,,,,,,,,,,P
هذه على ما أظن لم تتمتع و لم تلعب في صغرها و بالتالي اصيبت بما يسمى بالفرنسي retoure d age,N,,,,,,,,,,,,,,,,,N
ههههههه مصخره هههه¡,P,,,,,,,,,,,,,,,,,P
"لاتحاااااولوا والله ملكة وباتضل ملكة
بس الحسد عاميكم",N,,,,,,,,,,,,,,,,,N
الحمد لله .,N,,,,,,,,,,,,,,,,,N
"هههههههههههههههههههههههههههههههه
هههههههههههههههههههههههههههههه
هههههههههههههههههههههههههههه
هههههههههههههههههههههههههه
ههههههههههههههههههههههه
هههههههههههههههههههه
ههههههههههههههههه
هههههههههههههه
ههههههههههه
هههههههه
ههههه
ههه
هه
ه",N,,,,,,,,,,,,,,,,,N
هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه ههههههههههههههههههههههههههههههههههههههههههههه,N,,,,,,,,,,,,,,,,,N
انظر الي احلام والي الحصان ممكن تعرف الفرق,P,,,,,,,,,,,,,,,,,P
بعد احترامى لحضرتك يا اللى عارض الفيديو احلام دى اقل بكتييييييييييييير  من ان نحن نضيع وقتنا فى الفرجه عليها,N,,,,,,,,,,,,,,,,,N
الملكه احلام صوت وحضور ملكي والبرنامج من غيرها مايساوي شي,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
كلامك يجيب النوم,N,,,,,,,,,,,,,,,,,N
هيك راح تنشهر اكتر لانو المشكله فى الناس,N,,,,,,,,,,,,,,,,,N
"لله درك ياشيخ ,,الله يعطيك العافية",N,,,,,,,,,,,,,,,,,N
شذا حسون برقبتكي عندي انا,N,,,,,,,,,,,,,,,,,N
"شوي لاخ تغتصب شذى حسون هههههههه 
وشذى حسون تكول الها هاي البوسة من كلبج لان تعرفها انسانة منافقة",P,,,,,,,,,,,,,,,,,P
"بصراحة احلام امرأة شرسة ،لا مبالية وأنانية صريحة لكن صراحتها جارحة 
وهذا رأيي الشخصي لما فعلته بأجراد يوغرطة",N,,,,,,,,,,,,,,,,,N
جنس تالت,P,,,,,,,,,,,,,,,,,P
والله للأسف ياريت يعطاها شويت فلوس وتندلف ع وجوهنا لانه الحق لا شكل ولا منطق ولا احترام للناس لمعاها ولا المشاهدين بشكلها  . بالله عليك كم حاطه من وزن فوق وزنك من المكياج والازواق باش ع الاقل اهو لمعوك كد ما قدرو ؟؟؟,P,,,,,,,,,,,,,,,,,P
و الله ابدعت و ضحكتني و كمان فعلان وجهت نظرك اتفق معاك و احترمك,N,,,,,,,,,,,,,,,,,N
هاي مو فنانه  عاي مهرجه,P,,,,,,,,,,,,,,,,,P
tfouuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuh,P,,,,,,,,,,,,,,,,,P
كل زق,P,,,,,,,,,,,,,,,,,P
يا كره الي يجمع السلبيات ياخي ذي القناة ما شفت فيها شي يفتح النفس ابد -_-,N,,,,,,,,,,,,,,,,,N
محدسة نعمة وشبع من بعد جوع .. لولا الفلوس والغنى والذهب والالماس والشهرة والبرامج ماكنا سمعنا صوتك ولا كنتى انتقضتى او افتعلتى مشكلات وكرهتى وحقدتى على الاخرين وعلا صوتك .. الفلوس تغير النفوس فعلا حقيقة .. وللاسف نعمة لم تحسنى استغلالها وتطاولتى وشتمتى وعبتى بالاخرين بلسانك الزفر  ..  ولكن هكذا الدنيا تدور .. بعض الشهرة والاموال .. حينما تنطفى الاضواء والشهرة والبرامج وكل ما لذ وطاب وتطعنى فى السن وتدركى انه لايوجد احد حولك ولا احد يسال عنك باتصال تليفونى حتى .. وقتها ستشعرين بالذل والمهانة وتنكوى بحسرتك وتدركى وقتها ان الانسان تخلد ذكراه بسبب اخلاقه ولسانه الطيب وحب الناس له حتى ولو كان فقيرا لا يملك من متاع الدنيا الا الفتات. الى مزبلة التاريخ بغير رجعة.,P,,,,,,,,,,,,,,,,,P
أخي الكريم أولا عنوان المقطع أنا بخالفك فيه لأنو ولاتزعل مني صار أسمو ترويج لقناتك تحت مسميات غير صحيحة (لن ...... بسبب هذا الفيديو) وثقافك العالية يللي أنا شفتا من خلال فيديوهاتك السابقة تتناقض مع عنوان القيديو هي أول شي وتاني شي أحلام أو غيرها هي بالحقيقة مثال على سفاهة الاعلام الحاضن لها و المستقطب لأكبر عدد من المشاهدين بغية التربح على حساب جهل المشاهد العربي.,N,,,,,,,,,,,,,,,,,N
حقودة وحتى الطيبة ممسوحة من قلبها,P,,,,,,,,,,,,,,,,,P
"اخي الكريم صاحب القناة ، الفيديوهات السابقة كان فيها موضوعية ومناقشة جادة ومفيدة لناس يتاجرو فينا وفي ضحايا آخرين ، لديك علم وتحليل عميق وواضح اتمنى الاستمرار في طريقك وفضح اي متلاعب والابتعاد عن هذه المواضيع التافهة كمغنية او برنامج سخيف

اتمنى لك المزيد من التقدم",N,,,,,,,,,,,,,,,,,N
عصابة من الشياطين,N,,,,,,,,,,,,,,,,,N
اي فن هذا هذا فجور و الخروج من تقاليد الاسلام و الله لو كان عندي وقت كافي لبقيت اسبوع كامل اعلق و انتقد مثل هاؤولاء الاغبياء المقرفين اللذين ارتوا عن الاسلام الحقيقي,P,,,,,,,,,,,,,,,,,P
فقدت كل سيمات الانوثة,N,,,,,,,,,,,,,,,,,N
هاذيالفنانة اغترت بنفسها  و ضنت انها اصبحت تسيطر على الفن اعوذ با الله من هاؤولاء المغنيات و المغنيين اللذين افسدوا المجتمع و ابعدوه عن طريق الله,N,,,,,,,,,,,,,,,,,N
شكرًا على مجهودك لكن للأسف في العالم العربي يفرض علينا الفنانون فرضا لا يوجد احصائيات حقيقية لنعرف نجاح الفنان الحقيقي و خصوصا معظم دولنا فقيرة فاغلب الناس لا تشتري الألبومات أو تشتري تذاكر غالية لحضور الحفلات فممثل و صانع الفنان هو من يقوم بذالك و يفرض علينا في التلفزيون والمهرجانات و الإعلانات ... و الناس ينتضرون اي شيء في التلفزيون للترفيه لان ليس هناك بديل .. العرب يتابعون اي شيء حتى بلغات اخرى لا يفهموها المهم يشغل وقته .,N,,,,,,,,,,,,,,,,,N
دمها ثقيل جدا وتأهيل الي أبعد الحدود,P,,,,,,,,,,,,,,,,,P
احلام مع اني لاسمعاغانيها ولا احبها. الاانها. تقول صراحه.  عيني عينك,N,,,,,,,,,,,,,,,,,N
"أحلام مختلة عقلياً مريضة نفسياً عندها لا مبالاة بالكلمة وتفاهتها لأبعد الحدود.... 
صراحة مابعرف كيف سموها فنانة وهي كتير عليها كومبارس..... 
والأخ اللبناني فعلاً جابها عالوجع الله يعطيه العافية... . 
واصل ابو الشباب و الله يعطيك العافية",P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
"مين إلي عملهم غير الجمهور . .؟؟!! وليكو ( ماأعجبني )أكتر من (عجبني) . .؟؟!! 
الجمهور والناس مغيبة ما بدها تعرف. . بدها تكون قطيع . . يتحكم فيه الجهل . .",N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
قناة تستحق المشاهده شكرا لكل الجهود الصادقة لتوصيل الحقيقة .,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
بصراحة ابشع مطربة عربية صراااحة والله و عمري ما اسمع لها اغنية,P,,,,,,,,,,,,,,,,,P
شكراً لحضرتك ع هذه المهنية و النقد الجريئ لجميع عاهات مجتمعاتنا المتفككة المغلوب ع امرها..احييييييك و نتمنى الاستمرار و النجاح لك بهذه المهمة الانسانية السامية..,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
البرنامج مالوش معنى من غير أحلام,N,,,,,,,,,,,,,,,,,N
بحبك كتير احلام انا اصلن بتابع البرنامج بس عشانك انتي,N,,,,,,,,,,,,,,,,,N
تافهة، مغرورة ودايما تحاول تفرض نفسها بتفاتها وبتفننها في تبدير ثروة زوجها لأنها عاشت الحرمان في صغرها وعندها نقص تحاول من خلاله أنها تعوض (الزين زين ولو قام من النوم والشين شين ولو اغتسل كل يوم) .. كان من الاحسن لو أنفقت ملايين الدولارات اللي تبدرينها على ملابسك البهلوانية وسيارات وتيلفونات على الشعب الفلسطيني يا منافقة يا محبة فلسطين زد على هذا هي تستاهل من يقيم صوتها ولولا ثروة زوجها والله لا تساوي شيئا.واللي عندو اعتراض يعطني اغنية لها فازت بالمراتب الأولى في تاريخها الفني أو جائزة عربية أو دولية فنية تحصلت عليها (الملكة)... فعلا ما تستحي لما أطلقت هذا الاسم على نفسها، قليلة الحياء تفوه,P,,,,,,,,,,,,,,,,,P
بس بدي اعرف طعموها ايا ...... الكنتاكي؟,N,,,,,,,,,,,,,,,,,N
متخرجه منين ..؟... ههههههههههههههههه  وبتقيم الفرائض هههههههههههههه طيب والبرنامج اللى بسببه بيذيد عدد المغنين اللى بسببهم تحلالى الحب والمسمى الحقيقى له الزنا..تقولى عنه ايه,N,,,,,,,,,,,,,,,,,N
هههههههههههههه  لا حوله ولا قوه الا بلله ...والله مسخره فاضين احنا لأحلام ولغيرها.,P,,,,,,,,,,,,,,,,,P
ما تفه من احلام إلا زوجها إنسانه تافه و تشوف الناس بنظرة دونيه.. و راغب عمك و تاج راسك,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
"الفنانة احلام فنانة كبيرة وغصبا عن الكل وين المشكلة لمن الفنان يتصرف على طبيعته وسواء رضيت ولا ما رضيت احلام باقية في البرنامج لانها ملح البرنامج ومن دونها ما يسوى .
ابى اعرف وينكم فيه يوم راغب يتغزل في المشتركات وفي نانسي ؟ ولا هذا مو عيب",N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
شكرا على الفيديو  Mazabta يبين حقيقة الوسخة العنصرية أحلام .اسم احلام مو لابق عليها.,P,,,,,,,,,,,,,,,,,P
"احلام بتدخل الجنة من ورا حش الناس فيها خلاص يا بشر دعو الخلق للخالق يمكن مسويه خير صغير يدخلها الجنه الله اعلم فيها لا تسبونها وتقذفونها خلاص خلوها منها ل ربها مين احنا حتا نحاسبها 
..
استغفر الله العظيم واتوب اليه ..
اللهم صلي على سيدنا محمد وآله وصحبه اجمعين ..",N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
"هل قريت قرآن اليوم؟ 
هل قلت استغفر الله 
الحمد لله
الله أكبر
سبحان الله
سبحان الله وبحمده
سبحان الله العظيم
لاإله إلا الله وحده لا شريك له له الملك وله الحمد وهو على كل شيء قدير
لاحول ولا قوة إلا بالله
اللهم صل وسلم على نبينا محمد",N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
"المشكلة لم تعد في قناة تلفاز او في فنان المشكلة اصبحت تمس الشعب الذي يقبل بأن ينظر او يشاهد مثل تلك المناظر والبرامج

انا ما بدي احكي عن فنان او فنانة بس بشكل عام احنا في وهم كبير وماحدن عارف هالشي إلا الي بيقرا المشاكل السياسية وأفكار المنظمات وكتير اشيا .. الله يعينا",N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
لمن احد بيتكلم على صوت لايختلف  عليه اثتين كصوت ذكرى الله يرحمها  تاءكد انه زعلان  من شي او مقهور وغيران او انه لايعرف شي اسمه فن حقيقه انما لو يعرف فمستحيل انه يتجرا ويتكلم على صوت طربي اصيل مثل صوت ذكرى الله يرحمها,N,,,,,,,,,,,,,,,,,N
لحظه انا بوظح شي كلنا نعرف انه مافيه افضل من صوت ذكرى الله يرحمها ومستحيل احد يتكلم ويتجرا على انه يتكلم على صوتها احلام هنا لمن تكلمت كانت مقهوره وزعلانه من ذكرى عشان هي قالت لها انها فنانه شعبيه   وذكرى ماكانت تقصد تظايقها حكت في هشي قبل الوفاه الله يرحمها ونا ابصم لك بلعشر هلكلام من من قلب احلام هي طلعت وتكلمت ووظحت حبها لصوت ذكرى بعد ماماتت وازيدك انها راحت مكه ودعت لها وندمت  بشكل كبير  مافيه احد يعرف ذكرى ومايحبها وطبيعي يحصل سوء تفاهم وخلافات بين الاصوات المحترفه,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
طوني خليفه انسان حقاني ومحترم,N,,,,,,,,,,,,,,,,,N
بنتك عندها طموح ...ههههههه,N,,,,,,,,,,,,,,,,,N
وجهة نظري أننا لا يمكن أن تكون النصيحة بهذه الطريقة بل إظهار أننا على مستوى أعلى منهم في التربية خاصة أما بهذه الطريقة فمتأسف.,N,,,,,,,,,,,,,,,,,N
مصر ارض العلماء و الأدباء و الشعراء أكبر و أشرف من هذي الساقطة و أمثالها و من يعرف الشعب المصري عن قرب يعرف مدى أدب و أخلاق هذا الشعب لكن الإعلام و الفنانين شوهوا صورتهم .,P,,,,,,,,,,,,,,,,,P
"اللي اختشوا ماتوا ودي حقيقه
اللي معايا لايك",N,,,,,,,,,,,,,,,,,N
رقم 8 يكول منو هيفا واليسا لو غطن صدرهن مينعرفن 😂😂جا انت وين تباوع يمعود ع وجه لو ع...😉😉😉😂😂😂😂😂مركز ماشاء الله الحجي😃😃,N,,,,,,,,,,,,,,,,,N
ها مصر مو تعيبون ع هيفاء وهبي😊😊لعد متحجون ع ذن ع اقل مسوت هيج هيفا😊😊,N,,,,,,,,,,,,,,,,,N
منو هاي😐,N,,,,,,,,,,,,,,,,,N
10000$ Naw 🇺🇸✍🏻✍🏻💳💌🇺🇸,N,,,,,,,,,,,,,,,,,N
009647826509977 حمودي,N,,,,,,,,,,,,,,,,,N
الله يهديها,N,,,,,,,,,,,,,,,,,N
اخر الفيديو شمتت فيها شماتة😂,N,,,,,,,,,,,,,,,,,N
"فين ابو كي فين أمك فين أخوك 
لا حول ولا قوة الا بالله",N,,,,,,,,,,,,,,,,,N
يخساره الجمال في البنت الشمال,N,,,,,,,,,,,,,,,,,N
مابعرف هيك اشكال ليش بعملو معن مقابلة بزيدو شهرتن اكتر ولي مابيعرفا رح يعرفا,N,,,,,,,,,,,,,,,,,N
علي راي سمير صبري دغلب والمصحف,N,,,,,,,,,,,,,,,,,N
حرام  محسوبه ع  مصر   دي,N,,,,,,,,,,,,,,,,,N
اظن هي تقياس ملابسها في فديوات على اساس ملابس بدله الرقص الشرقيه فمن وجه نظرها ان ملابس محترمه وحركات الله اعلم,N,,,,,,,,,,,,,,,,,N
اموت افهم كيف ينتقد الشخص اغنيتها  اللي اخذتها من سعاد حسني يا واد ياتقيل من اي ناحيه 🤔🤔,N,,,,,,,,,,,,,,,,,N
hhhhhhhhh,N,,,,,,,,,,,,,,,,,N
لبس محترم جدا يخرب بيتك طيب لي مو محترم كيف ان شاء الله ما يجي يوم تقلعيهم كلهم دي هيفاء  ما بتعملش لي انتي بتعمليه,N,,,,,,,,,,,,,,,,,N
صدك صوت نانسي مخل,N,,,,,,,,,,,,,,,,,N
ههههههه خلعوني تحيا الجزائر حمد الله معندناش هادوا الاشكال,N,,,,,,,,,,,,,,,,,N
وعلى فكرة ليه كل العالم تجيب سيرة اللبنانيات ماعم افهم والله عيب عليكم 😡😡😡😡😡😡😡,N,,,,,,,,,,,,,,,,,N
يجماعه  دي  فياجرا. ..عشان نتقبل  الغفر  ..,P,,,,,,,,,,,,,,,,,P
wats her name...??  i cant read arabic😂,N,,,,,,,,,,,,,,,,,N
بس بردو بحبها,N,,,,,,,,,,,,,,,,,N
مستفزه,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
صوتها بيشبه صوت عﻻ غانم,N,,,,,,,,,,,,,,,,,N
بديت احب برديس عشان الناس يكرهونها,N,,,,,,,,,,,,,,,,,N
انشا الله ترشى في الحبس وماتخرجش منوا غير اذا تابت,N,,,,,,,,,,,,,,,,,N
ههههههههههه تبهدل وتقول فيديو نظيف ههه شكلها بدها تنحي حوايجهااااا,N,,,,,,,,,,,,,,,,,N
دي بتشرب استركس جااااااااامد ههههههههههههه,P,,,,,,,,,,,,,,,,,P
انتى شمال يالي جيه من ارياف تقرفينا يشيخا غوووووووووووري بتييييييييييييييييييييييييييييييييييييييييييت,N,,,,,,,,,,,,,,,,,N
ما الفرق بين سما المصرى وبرديس وهيفاء وهبى ... كلو بيبيع جسمو عشان الفلوس كلهم بضاعه رخيص بتدخل بيوتنا عن طريق التليفزيون والنت اين انت يا امه محمد ارحمنا يا الله,P,,,,,,,,,,,,,,,,,P
انا لراى هى حرة ولى مش عجبة مع احضرامى لكل الحضرين يغير القناة مافيش مشاكل  وهى حرة وفى الاخر فى رقبة على اى حد,N,,,,,,,,,,,,,,,,,N
هاذي كتبحث على الشهرة ؤ صافي,N,,,,,,,,,,,,,,,,,N
انا بحبك اوي يا برديس,N,,,,,,,,,,,,,,,,,N
سبعين بالمية من الناس اللي في الفيديوهات عمري ماشفتهم ولا سمعت بيهم,N,,,,,,,,,,,,,,,,,N
الحين يعني جت على البس أستغفر الله بس نص الفنانين والفنانات يعملوا حركات حتى الأسحاق ماسسوها وحده تصور فلم أباحي والثانيه في ملاهي والثالث له صور مع ألف بنت والحين جو الى فنانه بس عشانها لبست لبس قصير في أغنيه طيب هي الصادقه لما تقول والفنانات الثانيه نفسها جيبولي فنانه وحده لبسها محتشم والله تخلف أي لبسها مو محتشم أي رقصها وصخ أي أي أي طيب مالهم دخل حرام جد طيب الواحد يتكلم بهدوء من دون سب من دون كلام ماله داعي والله لو كلموها بهدوء كان كلمتهم بهدوء من دون سب ولاشيء .,N,,,,,,,,,,,,,,,,,N
اليسا تاج راس امك جمال و فن,N,,,,,,,,,,,,,,,,,N
مسجونة هاذي الثورة؟,N,,,,,,,,,,,,,,,,,N
"انا مستغرب اوى على اخت سعاد حسنى اللى بتهاجم برديس على اساس ان اختها كانت بتقدم برامج دينية مهى اختك وكمان برديس واللى زيهم هما اللى ضيعوا البلد دى 
حسبى الله ونعم الوكيل",N,,,,,,,,,,,,,,,,,N
اصلن السينما المصريه من زمان الستات بيمروا من تحت الكبري مش  واقفه على البنت هذة ولا عاوزين نذكر شويه 😂😂,N,,,,,,,,,,,,,,,,,N
يارب خدهم جميعا,N,,,,,,,,,,,,,,,,,N
أستغفر اللة العلى العظيم من كل ذنب وأتوب آلية,N,,,,,,,,,,,,,,,,,N
اصلا شكلها شلق  وبزيئه وتربيه حواري,P,,,,,,,,,,,,,,,,,P
خش عندي علي صفحتي وهتلاقي حجات هتعجبك بس مهم تشترك في قناه عشان يجيلك كل جديد وليك للفديوا,N,,,,,,,,,,,,,,,,,N
والله يهدينا,N,,,,,,,,,,,,,,,,,N
"طالما هيشتموها،،،  ليه مهتمين بيها وعامليين ليها حلقة ومديينها قيمة.... 
ولا الناس؟؟؟؟ ليه اصلا متصلين...
مش فاهمة حاجة خاااالص متناقضين..",N,,,,,,,,,,,,,,,,,N
حطب جهنم وبئس المصير,N,,,,,,,,,,,,,,,,,N
أقسم بالله انا عجبنى كلام طونى خليفه جدا   اتعرى يجيلك شغل أكثر ههههههههههههههههههههههههههههههههه,P,,,,,,,,,,,,,,,,,P
المشكله اصلا ان دى واحده وسخه وانتو بكلامكم عليها بتعملو منها نجمه,P,,,,,,,,,,,,,,,,,P
حسبناالله ونعم الوكيل عليه الطلاق انتو الي خربتو مصر,N,,,,,,,,,,,,,,,,,N
قمت الادب,N,,,,,,,,,,,,,,,,,N
ا اوسخ واحده في العالم كله حسبي الله ونعم الوكيل فيها وفي اللي زيك,P,,,,,,,,,,,,,,,,,P
دي وامثالها هما اللي مسوئيين سمعة مصر حسبي الله ونعم الوكيل,N,,,,,,,,,,,,,,,,,N
وائل الابراشى 😂😂😂مشكله يوالع الدنياه,N,,,,,,,,,,,,,,,,,N
"وائل  الابراشي جايبها يمسح فيها بلاط الاستوديو ويعمل عليها حفلة  ولما حدا يقلها عاهرة وترد بقلها لا لا بتقول رايها 
وهي متخلفة بتقلك مش عاحبك غير القناة  ومتتفرجش زي ما واحد يضربك سكينة ويقلك كان قاومتني ههههههه",P,,,,,,,,,,,,,,,,,P
بصراحه اخراحترام الله يلعن ابوكي علي ابواليي جابك حسبي الله ونعمه​ الوكيل,P,,,,,,,,,,,,,,,,,P
والله انتى مرأة فى منتهى القرف الله يقرفك ويقرف تربيتك الوسخه وبعدين العيب مش عليكى العيب على اللى بيستضيف وحده شمال زيك ويفرضو علينا وعلى ولادنا ربنا يبنتقم منكو,P,,,,,,,,,,,,,,,,,P
هذة الست مقتنعة بملابس الكلب القذر بتاعها بالحترام.. سؤال ماذا ترتدي او تلبس في منزلها او غرفة نومها.....اكيد بتلبس عباية سوداء شكل وشها,P,,,,,,,,,,,,,,,,,P
قالت اللبس محترم جدا😂🤣,N,,,,,,,,,,,,,,,,,N
مصيرك جهنم أيتها الفاصقة والفاجرة لعنة الله عليك ستعلمين ذلك يوم لاينفع فيه مال ولا بنون إلا من اتي الله بقلب سليم.,P,,,,,,,,,,,,,,,,,P
علامات الساعة,N,,,,,,,,,,,,,,,,,N
هههههه هههههه هههههه,N,,,,,,,,,,,,,,,,,N
